Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Heat/Cool,sunset,sunrise,SunHours,isRainy,Humidity
2007-05-01,83,51.0,67.0,14.0,51,56.0,0448,1849, ,0.0,29.14,29.82,1.7,27,9.2,2.0,2007-05-01 18:49:00,2007-05-01 04:48:00,841.0,0,56.44
2007-05-02,59,42.5,50.75,-3.0,42,47.0,0447,1850,BR,0.0,29.41,30.09,13.0,4,13.4,-14.25,2007-05-02 18:50:00,2007-05-02 04:47:00,843.0,0,71.86
2007-05-03,66,47.0,56.5,2.0,40,48.0,0446,1851, ,0.0,29.425,30.12,11.7,7,11.9,-8.5,2007-05-03 18:51:00,2007-05-03 04:46:00,845.0,0,53.89
2007-05-04,66,50.0,58.0,4.0,41,50.0,0444,1852,RA,0.0,29.335,30.05,10.4,8,10.8,-7.0,2007-05-04 18:52:00,2007-05-04 04:44:00,848.0,1,53.08
2007-05-05,66,53.5,59.75,5.0,38,49.0,0443,1853, ,0.0,29.43,30.1,11.7,7,12.0,-5.25,2007-05-05 18:53:00,2007-05-05 04:43:00,850.0,0,44.36
2007-05-06,68,50.5,59.25,4.0,30,46.0,0442,1855, ,0.0,29.595,30.29,14.4,11,15.0,-5.75,2007-05-06 18:55:00,2007-05-06 04:42:00,853.0,0,32.81
2007-05-07,83,48.5,65.75,10.0,41,54.0,0441,1856,RA,0.0,29.41,30.12,8.6,18,10.5,0.75,2007-05-07 18:56:00,2007-05-07 04:41:00,855.0,1,40.37
2007-05-08,82,57.0,69.5,12.0,58,62.0,0439,1857,BR,0.0,29.325,30.03,2.7,11,5.8,4.5,2007-05-08 18:57:00,2007-05-08 04:39:00,858.0,0,66.84
2007-05-09,77,62.0,69.5,13.0,59,63.0,0438,1858,BR HZ,0.13,29.245,29.94,3.9,9,6.2,4.5,2007-05-09 18:58:00,2007-05-09 04:38:00,860.0,0,69.28
2007-05-10,84,57.5,70.75,14.0,52,60.0,0437,1859,BR,0.0,29.23,29.92,0.7,17,4.1,5.75,2007-05-10 18:59:00,2007-05-10 04:37:00,862.0,0,51.5
2007-05-11,70,50.0,60.0,4.0,42,51.0,0436,1900, ,0.0,29.36,30.04,11.3,3,12.9,-5.0,2007-05-11 19:00:00,2007-05-11 04:36:00,864.0,0,51.36
2007-05-12,64,46.5,55.25,-2.0,36,46.0,0435,1901, ,0.0,29.515,30.2,12.4,3,12.9,-9.75,2007-05-12 19:01:00,2007-05-12 04:35:00,866.0,0,48.2
2007-05-13,69,43.5,56.25,-2.0,33,46.0,0434,1902, ,0.0,29.52,30.24,6.6,14,8.1,-8.75,2007-05-13 19:02:00,2007-05-13 04:34:00,868.0,0,41.25
2007-05-14,90,55.0,72.5,15.0,47,59.0,0433,1903, ,0.0,29.27,29.97,16.9,21,17.3,7.5,2007-05-14 19:03:00,2007-05-14 04:33:00,870.0,0,40.29
2007-05-15,80,56.5,68.25,11.0,56,61.0,0432,1904,RA BR,0.38,29.16,29.84,8.1,27,12.3,3.25,2007-05-15 19:04:00,2007-05-15 04:32:00,872.0,1,64.92
2007-05-16,66,44.5,55.25,-4.0,43,48.0,0431,1905,RA BR,0.14,29.36,30.03,7.8,36,12.2,-9.75,2007-05-16 19:05:00,2007-05-16 04:31:00,874.0,1,63.31
2007-05-17,62,43.5,52.75,-6.0,32,43.0,0430,1906, ,0.0,29.585,30.27,10.5,3,11.3,-12.25,2007-05-17 19:06:00,2007-05-17 04:30:00,876.0,0,45.02
2007-05-18,71,42.5,56.75,-3.0,30,46.0,0429,1907, ,0.0,29.565,30.25,5.4,25,7.5,-8.25,2007-05-18 19:07:00,2007-05-18 04:29:00,878.0,0,35.89
2007-05-19,80,56.0,68.0,8.0,39,53.0,0428,1908, ,0.0,29.375,30.08,11.1,24,11.4,3.0,2007-05-19 19:08:00,2007-05-19 04:28:00,880.0,0,34.56
