Trap,Latitude,Longitude,Tavg,Depart,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Heat/Cool,SunHours,isRainy,Humidity,Year,Month,Week,DewPoint_Roll22Lag1,WetBulb_Roll16Lag7,AvgSpeed_Roll22Lag5,Humidity_Roll16Lag1,isRainy_Roll6Lag21,PrecipTotal_Roll1Lag5,ResultSpeed_Roll23Lag5,Heat/Cool_Roll12Lag12,Tavg_Roll12Lag12,Precip_X_DewPointRL,Precip_X_WetBulbRL,Precip_X_TavgRL,Precip_X_ResultDir,Precip_X_Latitude,Precip_X_Longitude,Species_1.0,Species_2.0,Species_3.0
T048,41.867108,-87.654224,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T030,41.89923,-87.716788,76.25,3.0,68,71.0,449,1907,0.0,29.235,29.93,4.0,5,5.5,11.25,858.0,1,75.66,2011,8,31,67.72727272727273,71.9375,7.5,66.77749999999993,0.16666666666666666,0.0,5.330434782608697,15.75,80.75,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T900,41.974689,-87.890615,50.75,-8.0,46,49.0,548,1734,0.89,29.155,29.9,9.1,13,9.5,-14.25,706.0,1,83.71,2009,10,40,55.59090909090909,61.875,5.8000000000000025,71.7937499999999,0.16666666666666666,0.0,4.578260869565219,3.8958333333333335,68.89583333333333,49.47590909090909,55.06875,61.31729166666666,11.57,37.35747321,-78.22264735,0,1,0
T080,41.754676,-87.612922,76.25,3.0,68,71.0,449,1907,0.0,29.235,29.93,4.0,5,5.5,11.25,858.0,1,75.66,2011,8,31,67.72727272727273,71.9375,7.5,66.77749999999993,0.16666666666666666,0.0,5.330434782608697,15.75,80.75,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T048,41.867108,-87.654224,69.75,-3.0,51,59.0,426,1928,0.0,29.255000000000006,29.93,8.8,30,10.9,4.75,902.0,0,51.35,2007,7,28,58.77272727272727,62.8125,8.354545454545457,60.70687500000001,0.5,1.3877787807814457e-16,6.652173913043479,7.416666666666667,72.41666666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T080,41.754676,-87.612922,72.25,-2.0,59,64.0,437,1919,0.14,29.11,29.83,8.9,23,9.8,7.25,882.0,1,63.1,2009,7,30,55.54545454545455,61.4375,7.75909090909091,61.42125000000001,0.16666666666666666,0.0,6.486956521739135,4.0625,69.0625,7.776363636363637,8.60125,9.668750000000001,3.22,5.845654640000001,-12.26580908,0,0,1
T144,41.94016,-87.794896,80.5,7.0,66,71.0,438,1918,0.0,29.225,29.91,3.4,32,6.5,15.5,880.0,0,61.39,2011,7,30,63.63636363636363,67.5,7.722727272727272,62.904374999999916,0.0,0.01999999999999879,6.504347826086957,12.520833333333334,77.52083333333333,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T065,41.778297,-87.752411,78.0,7.0,70,72.0,505,1845,0.0,29.235,29.91,3.8,18,6.0,13.0,820.0,0,76.46,2007,8,34,64.04545454545455,69.875,6.463636363636365,72.998125,0.3333333333333333,2.7755575615628914e-17,4.456521739130437,13.833333333333334,78.83333333333333,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T028,41.986921,-87.689778,73.75,1.0,54,62.0,423,1930,0.0,29.17,29.86,7.5,31,7.8,8.75,907.0,0,50.08,2009,7,28,59.13636363636363,66.41666666666667,7.799999999999997,62.31875000000001,0.6666666666666666,0.0,6.339130434782611,7.9375,72.9375,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T061,41.801179,-87.679447,80.5,7.0,66,71.0,438,1918,0.0,29.225,29.91,3.4,32,6.5,15.5,880.0,0,61.39,2011,7,30,63.63636363636363,67.5,7.722727272727272,62.904374999999916,0.0,0.01999999999999879,6.504347826086957,12.520833333333334,77.52083333333333,0.0,0.0,0.0,0.0,0.0,-0.0,1,0,0
T900,41.974689,-87.890615,71.75,-2.0,59,64.0,456,1858,0.0,29.25,29.94,8.3,19,8.5,6.75,842.0,0,64.18,2011,8,32,66.68181818181819,72.125,6.95909090909091,68.32749999999992,0.5,0.749999999999998,4.800000000000002,15.8125,80.8125,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
T135,41.662014,-87.72460799999998,71.0,-2.0,57,62.0,445,1911,0.0,29.26,29.95,7.6,30,7.8,6.0,866.0,0,61.27,2013,8,31,61.54545454545455,68.5625,7.65454545454545,66.86312499999985,0.16666666666666666,0.0,6.382608695652175,14.479166666666666,79.47916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T145,41.878114,-87.629798,76.5,3.0,68,70.0,440,1917,0.17,29.135,29.82,3.0,3,7.9,11.5,877.0,1,75.04,2007,7,30,59.0,65.0625,8.44090909090909,60.20000000000002,0.3333333333333333,0.0,6.417391304347827,10.833333333333334,75.83333333333333,10.030000000000001,11.060625,12.891666666666667,0.51,7.11927938,-14.89706566,1,0,0
T089,41.723195,-87.64997,54.5,-10.0,46,50.0,419,1920,0.12,29.39,30.09,7.4,3,8.0,-10.5,901.0,1,72.94,2009,6,23,45.04545454545455,51.9375,9.895454545454545,54.13437500000006,0.3333333333333333,0.0,7.934782608695655,-5.708333333333333,59.291666666666664,5.405454545454545,6.2325,7.114999999999999,0.36,5.0067834,-10.5179964,0,1,0
T144,41.94016,-87.794896,80.5,8.0,62,69.0,445,1911,0.0,29.315,30.0,3.5,9,4.1,15.5,866.0,0,53.37,2007,8,31,58.68181818181818,63.25,8.113636363636363,62.69000000000001,0.3333333333333333,0.16999999999999993,6.052173913043479,8.479166666666666,73.47916666666667,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
T231,41.98728,-87.666066,72.25,7.0,59,64.0,528,1809,0.0,29.31,29.98,7.0,35,9.4,7.25,761.0,1,63.1,2013,9,37,63.31818181818182,67.5,7.418181818181813,64.76062499999982,0.3333333333333333,0.009999999999997669,6.0695652173913,12.75,77.75,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
