,Trap,Latitude,Longitude,WnvPresent,Tavg,Depart,DewPoint,WetBulb,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Heat/Cool,SunHours,isRainy,Humidity,Year,Month,Week,DewPoint_Roll22Lag1,WetBulb_Roll16Lag7,AvgSpeed_Roll22Lag5,Humidity_Roll16Lag1,isRainy_Roll6Lag21,PrecipTotal_Roll1Lag5,ResultSpeed_Roll23Lag5,AvgSpeed_Roll22Lag5,Heat/Cool_Roll12Lag12,Tavg_Roll12Lag12,Precip_X_DewPointRL,Precip_X_WetBulbRL,Precip_X_TavgRL,Precip_X_ResultDir,Precip_X_Latitude,Precip_X_Longitude,Species_1.0,Species_2.0,Species_3.0
0,T048,41.867108,-87.654224,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
1,T027,41.98480900000001,-87.728492,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
2,T128,41.704572,-87.56566600000002,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
3,T212,41.680946,-87.535198,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
4,T230,41.904194,-87.756155,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
5,T069,41.768388,-87.678649,1,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
6,T145,41.878114,-87.629798,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
7,T043,41.857402,-87.694991,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
8,T077,41.778748,-87.586427,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,0,1
9,T079,41.766202,-87.562889,0,72.75,5.0,58,64.0,522,1819,0.0,29.41,30.11,4.7,20,6.0,7.75,777.0,0,59.86,2013,9,36,61.22727272727273,66.9375,7.109090909090903,65.50874999999985,0.3333333333333333,0.13999999999999768,5.630434782608694,7.109090909090903,7.1875,72.1875,0.0,0.0,0.0,0.0,0.0,-0.0,0,1,0
