,id,pid,ms_subclass,lot_frontage,lot_area,lot_shape,utilities,lot_config,land_slope,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,heating_qc,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,mo_sold,sale_type,saleprice
0,109,533352170,bin_03,0.0,13517,3,4,CulDSac,3,Sawyer,2Story,6,8,1976,2005,BrkFace,289.0,4,3,CBlock,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,5,5,725,1479,0.0,2.0,1.0,3.0,1.0,4,6,8,0.0,0.0,Attchd,1976.0,2.0,475.0,3.0,3.0,2,0.0,44.0,0.0,0.0,3,WD ,130500
1,544,531379050,bin_03,43.0,11492,3,4,CulDSac,3,SawyerW,2Story,7,5,1996,1997,BrkFace,132.0,4,3,PConc,4.0,3.0,1.0,6.0,637.0,1.0,0.0,276.0,5,5,913,2122,1.0,2.0,1.0,4.0,1.0,4,8,8,1.0,3.0,Attchd,1997.0,2.0,559.0,3.0,3.0,2,0.0,74.0,0.0,0.0,4,WD ,220000
2,153,535304180,bin_01,68.0,7922,4,4,Inside,3,NAmes,1Story,5,7,1953,2007,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,3,5,1057,1057,1.0,1.0,0.0,3.0,1.0,4,5,8,0.0,0.0,Detchd,1953.0,1.0,246.0,3.0,3.0,2,0.0,52.0,0.0,0.0,1,WD ,109000
3,318,916386060,bin_03,73.0,9802,4,4,Inside,3,Timber,2Story,5,5,2006,2007,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,384.0,4,5,744,1444,0.0,2.0,1.0,3.0,1.0,3,7,8,0.0,0.0,BuiltIn,2007.0,3.0,400.0,3.0,3.0,2,100.0,0.0,0.0,0.0,4,WD ,174000
4,255,906425045,bin_06,82.0,14235,3,4,Inside,3,SawyerW,1.5Fin,6,8,1900,1993,None,0.0,3,3,PConc,2.0,4.0,1.0,1.0,0.0,1.0,0.0,676.0,3,5,831,1445,0.0,2.0,0.0,3.0,1.0,3,6,8,0.0,0.0,Detchd,1957.0,1.0,484.0,3.0,3.0,0,0.0,59.0,0.0,0.0,3,WD ,138500
5,138,535126040,bin_01,137.0,16492,3,4,Corner,3,NAmes,1Story,6,6,1966,2002,None,0.0,4,3,CBlock,3.0,3.0,1.0,5.0,247.0,3.0,713.0,557.0,5,5,1888,1888,0.0,2.0,1.0,2.0,1.0,4,6,5,1.0,4.0,Attchd,1966.0,3.0,578.0,3.0,3.0,2,0.0,0.0,0.0,0.0,6,WD ,190000
6,2827,908186070,bin_09,35.0,3675,4,4,Inside,3,Edwards,SFoyer,6,5,2005,2006,BrkFace,82.0,3,3,PConc,4.0,3.0,4.0,6.0,547.0,1.0,0.0,0.0,4,5,1072,1072,1.0,2.0,0.0,2.0,1.0,3,5,8,0.0,0.0,Basment,2005.0,3.0,525.0,3.0,3.0,2,0.0,44.0,0.0,0.0,6,New,140000
7,145,535154050,bin_01,0.0,12160,3,4,Inside,3,NAmes,1Story,5,5,1959,1959,BrkFace,180.0,3,3,CBlock,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,2,5,1188,1188,1.0,1.0,0.0,3.0,1.0,3,6,8,0.0,0.0,Attchd,1959.0,2.0,531.0,3.0,3.0,2,0.0,0.0,0.0,0.0,5,COD,142000
8,1942,535353130,bin_01,0.0,15783,4,4,Inside,3,OldTown,1Story,5,5,1952,1952,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,292.0,1.0,0.0,632.0,3,5,924,924,0.0,1.0,0.0,2.0,1.0,3,6,8,0.0,0.0,Detchd,1952.0,1.0,420.0,3.0,3.0,2,0.0,324.0,0.0,0.0,6,WD ,112500
9,1956,535426130,bin_03,70.0,11606,3,4,Inside,1,NAmes,2Story,5,5,1969,1969,BrkFace,192.0,3,3,PConc,4.0,3.0,3.0,3.0,650.0,1.0,0.0,390.0,3,5,1040,2080,0.0,1.0,2.0,5.0,1.0,2,9,8,2.0,3.0,Attchd,1969.0,1.0,504.0,3.0,3.0,2,335.0,0.0,0.0,0.0,9,WD ,135000
