,id,pid,ms_subclass,lot_frontage,lot_area,lot_shape,utilities,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,heating_qc,electrical,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,screen_porch,mo_sold,sale_type,saleprice
0,109,533352170,bin_03,0.0,13517,IR1,AllPub,CulDSac,Gtl,Sawyer,1Fam,2Story,6,8,1976,2005,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,Ex,SBrkr,725,1479,0.0,2.0,1.0,3.0,1.0,Gd,6,Typ,0.0,0,Attchd,1976.0,RFn,475.0,TA,TA,Y,0.0,44.0,0.0,0.0,3,WD ,130500
1,544,531379050,bin_03,43.0,11492,IR1,AllPub,CulDSac,Gtl,SawyerW,1Fam,2Story,7,5,1996,1997,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,Ex,SBrkr,913,2122,1.0,2.0,1.0,4.0,1.0,Gd,8,Typ,1.0,TA,Attchd,1997.0,RFn,559.0,TA,TA,Y,0.0,74.0,0.0,0.0,4,WD ,220000
2,153,535304180,bin_01,68.0,7922,Reg,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,7,1953,2007,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,TA,SBrkr,1057,1057,1.0,1.0,0.0,3.0,1.0,Gd,5,Typ,0.0,0,Detchd,1953.0,Unf,246.0,TA,TA,Y,0.0,52.0,0.0,0.0,1,WD ,109000
3,318,916386060,bin_03,73.0,9802,Reg,AllPub,Inside,Gtl,Timber,1Fam,2Story,5,5,2006,2007,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,Gd,SBrkr,744,1444,0.0,2.0,1.0,3.0,1.0,TA,7,Typ,0.0,0,BuiltIn,2007.0,Fin,400.0,TA,TA,Y,100.0,0.0,0.0,0.0,4,WD ,174000
4,255,906425045,bin_06,82.0,14235,IR1,AllPub,Inside,Gtl,SawyerW,1Fam,1.5Fin,6,8,1900,1993,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,TA,SBrkr,831,1445,0.0,2.0,0.0,3.0,1.0,TA,6,Typ,0.0,0,Detchd,1957.0,Unf,484.0,TA,TA,N,0.0,59.0,0.0,0.0,3,WD ,138500
5,138,535126040,bin_01,137.0,16492,IR1,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,6,1966,2002,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,Ex,SBrkr,1888,1888,0.0,2.0,1.0,2.0,1.0,Gd,6,Mod,1.0,Gd,Attchd,1966.0,Fin,578.0,TA,TA,Y,0.0,0.0,0.0,0.0,6,WD ,190000
6,2827,908186070,bin_09,35.0,3675,Reg,AllPub,Inside,Gtl,Edwards,TwnhsE,SFoyer,6,5,2005,2006,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,Gd,SBrkr,1072,1072,1.0,2.0,0.0,2.0,1.0,TA,5,Typ,0.0,0,Basment,2005.0,Fin,525.0,TA,TA,Y,0.0,44.0,0.0,0.0,6,New,140000
7,145,535154050,bin_01,0.0,12160,IR1,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,1959,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,Fa,SBrkr,1188,1188,1.0,1.0,0.0,3.0,1.0,TA,6,Typ,0.0,0,Attchd,1959.0,RFn,531.0,TA,TA,Y,0.0,0.0,0.0,0.0,5,COD,142000
8,1942,535353130,bin_01,0.0,15783,Reg,AllPub,Inside,Gtl,OldTown,1Fam,1Story,5,5,1952,1952,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,TA,SBrkr,924,924,0.0,1.0,0.0,2.0,1.0,TA,6,Typ,0.0,0,Detchd,1952.0,Unf,420.0,TA,TA,Y,0.0,324.0,0.0,0.0,6,WD ,112500
9,1956,535426130,bin_03,70.0,11606,IR1,AllPub,Inside,Sev,NAmes,1Fam,2Story,5,5,1969,1969,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,TA,SBrkr,1040,2080,0.0,1.0,2.0,5.0,1.0,Fa,9,Typ,2.0,TA,Attchd,1969.0,Unf,504.0,TA,TA,Y,335.0,0.0,0.0,0.0,9,WD ,135000
